TERM,SCHOOL,DEPARTMENT,SUBJ,COURSE,SECTION,CRN,TITLE,TYPE,CREDITS,INSTRUCTOR NAME(S),SECT MAX,SECT ENRL,UG SECT ENRL,UP SECT ENRL,GR SECT ENRL,VS SECT ENRL,VU SECT ENRL,VG SECT ENRL,XLST GROUP,XLST MAX,XLST ENRL,TTL ENRL,TTL SEATS AVAIL,XLST WITH,XLST CRN,XLST LEAD DEPT,HAS_SYLLABUS
spring 2025,School of Business,Business,BUSI,150,2,26867,ECONOMICS FOR BUSINESS,LEC,3,"Vidal, Jorge",45,4,3,0,0,0,1,0,,,,4,41,,,,N
fall 2025,School of Business,Business,BUSI,215,1,15079,LEADING ACROSS SOCIAL DIVIDES,LEC,3,"Jun, Sora",45,15,15,0,0,0,0,0,,,,15,30,,,,Y
fall 2021,School of Business,Business,BUSI,220,1,12271,LILIE DESIGN THINKING,LAB,3,"Randall, Angela S.",50,34,34,0,0,0,0,0,,,,34,16,,,,Y
fall 2022,School of Business,Business,BUSI,220,1,11943,LILIE DESIGN THINKING,LAB,3,"Randall, Angela S.",40,30,28,0,0,0,0,2,,,,30,10,,,,Y
fall 2025,School of Business,Business,BUSI,220,1,15076,INTRO TO DESIGN AND INNOVATION,LL,3,"Panahi, Hesam M.; Naids, Elena",40,39,38,0,0,0,1,0,,,,39,1,,,,Y
spring 2022,School of Business,Business,BUSI,220,1,25650,LILIE DESIGN THINKING,LAB,3,"Randall, Angela S.",36,19,18,0,0,0,1,0,,,,19,17,,,,Y
spring 2023,School of Business,Business,BUSI,220,2,24408,LILIE DESIGN THINKING,LL,3,"Randall, Angela S.",40,25,25,0,0,0,0,0,,,,25,15,,,,Y
spring 2024,School of Business,Business,BUSI,220,1,24408,INTRO TO DESIGN AND INNOVATION,LL,3,"Panahi, Hesam M.",45,42,42,0,0,0,0,0,,,,42,3,,,,Y
spring 2025,School of Business,Business,BUSI,220,1,24408,INTRO TO DESIGN AND INNOVATION,LL,3,"Panahi, Hesam M.",40,39,39,0,0,0,0,0,,,,39,1,,,,Y
fall 2022,School of Business,Business,BUSI,221,1,14296,NEW ENTERPRISES,LL,3,"Panahi, Hesam M.",40,35,34,0,0,0,1,0,E1,40,35,35,5,ENGI 221 001,14297,Business,Y
fall 2023,School of Business,Business,BUSI,221,1,14296,NEW ENTERPRISES: DISCOVERY,LL,3,"Panahi, Hesam M.",45,45,44,0,0,0,1,0,E1,45,48,48,-3,ENGI 221 001,14297,Business,Y
fall 2024,School of Business,Business,BUSI,221,1,14296,NEW ENTERPRISES: DISCOVERY,LL,3,"Panahi, Hesam M.",40,36,35,0,0,0,0,1,E1,40,36,36,4,ENGI 221 001,14297,Business,Y
fall 2024,School of Business,Business,BUSI,221,2,17629,NEW ENTERPRISES: DISCOVERY,LL,3,"Panahi, Hesam M.; Randolph, Sophia F.",30,19,18,0,0,0,1,0,A9,30,20,20,10,ENGI 221 002,17630,Business,Y
fall 2025,School of Business,Business,BUSI,221,1,12696,NEW ENTERPRISES: DISCOVERY,LL,3,"Panahi, Hesam M.; Randolph, Sophia F.",40,24,24,0,0,0,0,0,E1,40,24,24,16,ENGI 221 001,12697,Business,Y
fall 2025,School of Business,Business,BUSI,221,2,14315,NEW ENTERPRISES: DISCOVERY,LL,3,"Randolph, Sophia F.; Panahi, Hesam M.",40,27,27,0,0,0,0,0,A9,40,27,27,13,ENGI 221 002,14316,Business,Y
spring 2022,School of Business,Business,BUSI,221,1,22835,NEW ENTERPRISES,LL,3,"Panahi, Hesam M.",40,37,37,0,0,0,0,0,H3,40,38,38,2,ENGI 221 001,22888,Business,Y
spring 2023,School of Business,Business,BUSI,221,1,21971,NEW ENTERPRISES,LL,3,"Panahi, Hesam M.",40,35,35,0,0,0,0,0,H3,40,35,35,5,ENGI 221 001,21982,Business,Y
spring 2025,School of Business,Business,BUSI,221,1,26810,NEW ENTERPRISES: DISCOVERY,LL,3,"Panahi, Hesam M.",40,34,33,0,0,0,0,1,F5,40,34,34,6,ENGI 221 001,26837,Business,Y
spring 2025,School of Business,Business,BUSI,221,2,26811,NEW ENTERPRISES: DISCOVERY,LL,3,"Randolph, Sophia F.",40,12,10,0,0,0,2,0,H1,40,12,12,28,ENGI 221 002,26838,Business,Y
fall 2022,School of Business,Business,BUSI,222,901,14381,TECH PRODUCT DESIGN & DEV,LEC,3,"Tyger, Carol",40,15,15,0,0,0,0,0,,,,15,25,,,,Y
fall 2023,School of Business,Business,BUSI,222,1,16285,TECH PRODUCT DESIGN & DEV,LEC,3,"Chan, Bryant W.; Sklar, Michael",45,40,39,0,0,0,1,0,,,,40,5,,,,Y
fall 2024,School of Business,Business,BUSI,222,1,16285,TECH PRODUCT DESIGN & DEV,LEC,3,"Sklar, Michael; Wulf, Adam M.",40,35,35,0,0,0,0,0,,,,35,5,,,,Y
fall 2025,School of Business,Business,BUSI,222,1,13366,TECH PRODUCT DESIGN & DEV,LEC,3,"Massaro, Diana; Wulf, Adam M.",40,15,15,0,0,0,0,0,,,,15,25,,,,Y
spring 2022,School of Business,Business,BUSI,222,901,26134,TECH PRODUCT DESIGN & DEV,LEC,3,"Tyger, Carol",36,30,29,0,0,0,0,1,,,,30,6,,,,Y
fall 2021,School of Business,Business,BUSI,223,1,11636,MODELING FOR ENTREPRENEURS,LL,3,"Cheek, Danielle S.",45,37,37,0,0,0,0,0,,,,37,8,,,,Y
fall 2022,School of Business,Business,BUSI,223,1,11432,MODELING FOR ENTREPRENEURS,LL,3,"Cheek, Danielle S.",45,31,30,0,0,0,1,0,,,,31,14,,,,Y
fall 2023,School of Business,Business,BUSI,223,1,11432,MODELING FOR ENTREPRENEURS,LL,3,"Cheek, Danielle S.",55,47,47,0,0,0,0,0,,,,47,8,,,,Y
fall 2024,School of Business,Business,BUSI,223,1,11432,MODELING FOR ENTREPRENEURS,LL,3,"Okorafor, Patrick H.",45,30,30,0,0,0,0,0,,,,30,15,,,,Y
fall 2025,School of Business,Business,BUSI,223,1,11184,MODELING FOR ENTREPRENEURS,LL,3,"Ray, Patrick B.",45,39,39,0,0,0,0,0,,,,39,6,,,,Y
fall 2023,School of Business,Business,BUSI,224,1,15807,BIAS AND MEDICAL DEVICE DESIGN,LEC,1,"Abidi, Sabia Z.; Panahi, Hesam M.",30,9,9,0,0,0,0,0,F1,30,19,19,11,BIOE 123 001,15685,Bioengineering,Y
fall 2024,School of Business,Business,BUSI,224,1,15807,BIAS AND MEDICAL DEVICE DESIGN,LEC,1,"Abidi, Sabia Z.; Panahi, Hesam M.",30,13,13,0,0,0,0,0,F1,30,14,14,16,BIOE 123 001,15685,Bioengineering,Y
fall 2025,School of Business,Business,BUSI,224,1,13201,BIAS AND MEDICAL DEVICE DESIGN,LEC,1,"Abidi, Sabia Z.; Panahi, Hesam M.",30,6,6,0,0,0,0,0,F1,30,15,15,15,BIOE 123 001,13172,Bioengineering,Y
fall 2025,School of Business,Business,BUSI,233,1,15298,GENAI FOR BUSINESS,LEC,3,"Perley, Kathleen",65,52,48,0,0,0,0,4,,,,52,13,,,,Y
spring 2025,School of Business,Business,BUSI,233,1,26868,GENAI FOR BUSINESS,LEC,3,"Perley, Kathleen",65,39,37,0,0,0,2,0,,,,39,26,,,,Y
fall 2021,School of Business,Business,BUSI,296,1,10235,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",65,59,59,0,0,0,0,0,,,,59,6,,,,Y
fall 2021,School of Business,Business,BUSI,296,2,10236,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",65,60,60,0,0,0,0,0,,,,60,5,,,,Y
fall 2022,School of Business,Business,BUSI,296,1,10222,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",65,62,61,0,0,0,1,0,,,,62,3,,,,Y
fall 2022,School of Business,Business,BUSI,296,2,10223,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",65,60,59,0,0,0,0,1,,,,60,5,,,,Y
fall 2023,School of Business,Business,BUSI,296,1,10222,BUSINESS COMMUNICATION,LEC,3,"Taylor, Monique Y.",65,22,21,0,0,0,0,1,,,,22,43,,,,Y
spring 2022,School of Business,Business,BUSI,296,1,20314,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",60,38,35,0,0,0,2,1,,,,38,22,,,,Y
spring 2022,School of Business,Business,BUSI,296,2,20207,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",60,52,51,0,0,0,1,0,,,,52,8,,,,Y
spring 2023,School of Business,Business,BUSI,296,1,20238,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",60,16,12,0,0,0,2,2,,,,16,44,,,,Y
spring 2023,School of Business,Business,BUSI,296,2,20156,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",60,56,56,0,0,0,0,0,,,,56,4,,,,Y
spring 2024,School of Business,Business,BUSI,296,1,20238,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",65,31,29,0,0,0,0,2,,,,31,34,,,,Y
spring 2024,School of Business,Business,BUSI,296,2,20156,BUSINESS COMMUNICATION,LEC,3,"Russell, Jeffrey",65,62,62,0,0,0,0,0,,,,62,3,,,,Y
fall 2021,School of Business,Business,BUSI,305,1,11575,FINANCIAL ACCOUNTING,LEC,3,"Zeff, Stephen A.",60,45,45,0,0,0,0,0,,,,45,15,,,,Y
fall 2021,School of Business,Business,BUSI,305,2,11576,FINANCIAL ACCOUNTING,LEC,3,"Zeff, Stephen A.",60,33,33,0,0,0,0,0,,,,33,27,,,,Y
fall 2022,School of Business,Business,BUSI,305,1,11375,FINANCIAL ACCOUNTING,LEC,3,"Zeff, Stephen A.",65,38,38,0,0,0,0,0,,,,38,27,,,,Y
fall 2022,School of Business,Business,BUSI,305,2,11376,FINANCIAL ACCOUNTING,LEC,3,"Peyravan, Leila",65,53,51,0,1,0,0,1,,,,53,12,,,,Y
fall 2022,School of Business,Business,BUSI,305,3,14299,FINANCIAL ACCOUNTING,LEC,3,"Peyravan, Leila",65,60,59,0,0,0,1,0,,,,60,5,,,,Y
fall 2023,School of Business,Business,BUSI,305,1,11375,FINANCIAL ACCOUNTING,LEC,3,"Zeff, Stephen A.",60,34,34,0,0,0,0,0,,,,34,26,,,,Y
